timestamp,temperature
2025-06-10 0:00:00,5.5
2025-06-10 1:00:00,5.4
2025-06-10 2:00:00,5.2
2025-06-10 3:00:00,5.1
2025-06-10 4:00:00,5
2025-06-10 5:00:00,5.2
2025-06-10 6:00:00,5.5
2025-06-10 7:00:00,5.8
2025-06-10 8:00:00,6.1
2025-06-10 9:00:00,6.3
2025-06-10 10:00:00,6.5
2025-06-10 11:00:00,6.4
2025-06-10 12:00:00,6.2
2025-06-10 13:00:00,6
2025-06-10 14:00:00,5.9
2025-06-10 15:00:00,5.7
2025-06-10 16:00:00,5.6
2025-06-10 17:00:00,5.5
2025-06-10 18:00:00,5.4
2025-06-10 19:00:00,5.3
2025-06-10 20:00:00,5.2
2025-06-10 21:00:00,5.1
2025-06-10 22:00:00,5
2025-06-10 23:00:00,5.2
2025-06-11 0:00:00,5.4
