timestamp,zone_id,temperature_c,humidity_percent
2023-02-01 00:00:00,A1,22.0,64.8
2023-02-01 01:00:00,B2,22.5,61.9
2023-02-01 02:00:00,C3,20.1,69.4
2023-02-01 03:00:00,A1,23.3,60.7
2023-02-01 04:00:00,B2,24.1,67.5
2023-02-01 05:00:00,C3,22.6,73.1
2023-02-01 06:00:00,A1,20.8,64.0
2023-02-01 07:00:00,B2,21.0,62.3
2023-02-01 08:00:00,C3,23.4,67.9
2023-02-01 09:00:00,A1,25.3,60.5
2023-02-01 10:00:00,B2,20.6,74.8
2023-02-01 11:00:00,C3,23.7,68.1
2023-02-01 12:00:00,A1,21.9,65.2
2023-02-01 13:00:00,B2,22.3,62.1
2023-02-01 14:00:00,C3,20.5,70.9
